sku,details,dimensions,feature_content,feature_content2,feature_content3,feature_content4,feature_title,feature_title2,feature_title3,feature_title4,name,quote,quote_author,quote_role,frame,legs,suspension,filling,material
109-FT-GRY,,,"Our ode to mid century modern American furniture, the Freeman  creates a striking statement in any room.  A great investment for a chair with timeless design.  Two side cushions included as pictured.","Woven elegantly together, our hand picked weave is rich in texture and perfectly versatile for any setting.","Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate quality and contemporary design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Mid Century Modern Design,Tailored Uphostery,Built to Last,Designed for Comfort,Freeman Sofa,The Freeman Collection is classic and modern.  The sofa is comfortable for multiple people (and a dog!) and the design fits in any room!,Tracy,,Hardwood,,,,
109-LN-OAT,,,"Our ode to mid century modern American furniture, the Freeman  creates a striking statement in any room.  A great investment for a chair with timeless design.  Two side cushions included as pictured.",Beautiful linen blended with cotton creating a super soft and comfortable texture and appearance.,"Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate quality and contemporary design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Mid Century Modern Design,Tailored Uphostery,Built to Last,Designed for Comfort,Freeman Sofa,The Freeman Collection is classic and modern.  The sofa is comfortable for multiple people (and a dog!) and the design fits in any room!,Tracy,,Hardwood,,,,
107-LTH-BRN,,,"The classically modern Cooper brings clean lines with squared off seat and back cushions for a cool and contemporary feel.  Our elegant, deep seated lounger will surely turn heads at your next cocktail party. ","Premium, American grade distressed leather, creating a one of a kind texture and quality that makes each piece unique and age beautifully over time.","Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate quality and contemporary design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Authentic Design,Tailored Uphostery,Built to Last,Designed for Comfort,Cooper Armchair,The Cooper Collection is the sofa you want to relax in!  The down feather blends in the seat and back cushions really make a difference.,Josh,,Hardwood,,,,
107-FW-LG,,,"The classically modern Cooper brings clean lines with squared off seat and back cushions for a cool and contemporary feel.  Our elegant, deep seated lounger will surely turn heads at your next cocktail party. ","Beautifully blended with polyester and polyfiber, our distinct basketweave fabric brings comfort in an easy to care for style","Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate quality and contemporary design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Authentic Design,Tailored Uphostery,Built to Last,Designed for Comfort,Cooper Armchair,The Cooper Collection is the sofa you want to relax in!  The down feather blends in the seat and back cushions really make a difference.,Josh,,Hardwood,,,,
107-FT-GRY,,,"The classically modern Cooper brings clean lines with squared off seat and back cushions for a cool and contemporary feel.  Our elegant, deep seated lounger will surely turn heads at your next cocktail party. ","Woven elegantly together, our hand picked weave is rich in texture and perfectly versatile for any setting.","Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate quality and contemporary design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Authentic Design,Tailored Uphostery,Built to Last,Designed for Comfort,Cooper Armchair,The Cooper Collection is the sofa you want to relax in!  The down feather blends in the seat and back cushions really make a difference.,Josh,,Hardwood,,,,
107-LN-OAT,,,"The classically modern Cooper brings clean lines with squared off seat and back cushions for a cool and contemporary feel.  Our elegant, deep seated lounger will surely turn heads at your next cocktail party. ",Beautiful linen blended with cotton creating a super soft and comfortable texture and appearance.,"Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate quality and contemporary design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Authentic Design,Tailored Uphostery,Built to Last,Designed for Comfort,Cooper Armchair,The Cooper Collection is the sofa you want to relax in!  The down feather blends in the seat and back cushions really make a difference.,Josh,,Hardwood,,,,
108-LTH-BRN,,,The classically modern Cooper brings clean lines  for a cool and contemporary feel.  ,"Premium, American grade distressed leather, creating a one of a kind texture and quality that makes each piece unique and age beautifully over time.","Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate quality and contemporary design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Authentic Design,Tailored Uphostery,Built to Last,Designed for Comfort,Cooper Ottoman,The Cooper Collection is the sofa you want to relax in!  The down feather blends in the seat cushions really make a difference.,Josh,,Hardwood,,,,
108-FW-LG,,,The classically modern Cooper brings clean lines  for a cool and contemporary feel.  ,"Beautifully blended with polyester and polyfiber, our distinct basketweave fabric brings comfort in an easy to care for style","Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate quality and contemporary design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Authentic Design,Tailored Uphostery,Built to Last,Designed for Comfort,Cooper Ottoman,The Cooper Collection is the sofa you want to relax in!  The down feather blends in the seat cushions really make a difference.,Josh,,Hardwood,,,,
108-FT-GRY,,,The classically modern Cooper brings clean lines  for a cool and contemporary feel.  ,"Woven elegantly together, our hand picked weave is rich in texture and perfectly versatile for any setting.","Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate quality and contemporary design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Authentic Design,Tailored Uphostery,Built to Last,Designed for Comfort,Cooper Ottoman,The Cooper Collection is the sofa you want to relax in!  The down feather blends in the seat cushions really make a difference.,Josh,,Hardwood,,,,
108-LN-OAT,,,The classically modern Cooper brings clean lines  for a cool and contemporary feel.  ,Beautiful linen blended with cotton creating a super soft and comfortable texture and appearance.,"Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate quality and contemporary design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Authentic Design,Tailored Uphostery,Built to Last,Designed for Comfort,Cooper Ottoman,The Cooper Collection is the sofa you want to relax in!  The down feather blends in the seat cushions really make a difference.,Josh,,Hardwood,,,,
106-LTH-BRN,,,"The classically modern Cooper brings clean lines with squared off seat and back cushions for a cool and contemporary feel.  Our elegant, deep seated lounger will surely turn heads at your next cocktail party. ","Premium, American grade distressed leather, creating a one of a kind texture and quality that makes each piece unique and age beautifully over time.","Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate quality and contemporary design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Authentic Design,Tailored Uphostery,Built to Last,Designed for Comfort,Cooper Sofa,The Cooper Collection is the sofa you want to relax in!  The down feather blends in the seat and back cushions really make a difference.,Josh,,Hardwood,,,,
106-FW-LG,,,"The classically modern Cooper brings clean lines with squared off seat and back cushions for a cool and contemporary feel.  Our elegant, deep seated lounger will surely turn heads at your next cocktail party. ","Beautifully blended with polyester and polyfiber, our distinct basketweave fabric brings comfort in an easy to care for style","Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate quality and contemporary design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Authentic Design,Tailored Uphostery,Built to Last,Designed for Comfort,Cooper Sofa,The Cooper Collection is the sofa you want to relax in!  The down feather blends in the seat and back cushions really make a difference.,Josh,,,,,,
106-FT-GRY,,,"The classically modern Cooper brings clean lines with squared off seat and back cushions for a cool and contemporary feel.  Our elegant, deep seated lounger will surely turn heads at your next cocktail party. ","Woven elegantly together, our hand picked weave is rich in texture and perfectly versatile for any setting.","Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate quality and contemporary design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Authentic Design,Tailored Uphostery,Built to Last,Designed for Comfort,Cooper Sofa,The Cooper Collection is the sofa you want to relax in!  The down feather blends in the seat and back cushions really make a difference.,Josh,,,,,,
106-LN-OAT,,,"The classically modern Cooper brings clean lines with squared off seat and back cushions for a cool and contemporary feel.  Our elegant, deep seated lounger will surely turn heads at your next cocktail party. ",Beautiful linen blended with cotton creating a super soft and comfortable texture and appearance.,"Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate quality and contemporary design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Authentic Design,Tailored Uphostery,Built to Last,Designed for Comfort,Cooper Sofa,The Cooper Collection is the sofa you want to relax in!  The down feather blends in the seat and back cushions really make a difference.,Josh,,,,,,
104-FW-LG,,,"Our take on casual, relaxed California style, the Cameron is perfect for cat naps or movie nights at home.  Elegant, crisp tapered arm rests and two included cushions complete the look.","Beautifully blended with polyester and polyfiber, our distinct basketweave fabric brings comfort in an easy to care for style","Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate quality and contemporary design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Authentic Design,Tailored Uphostery,Built to Last,Designed for Comfort,Cameron Armchair,The Cameron Collection is so comfortable and modern.  Great for first time homeowners!,Teddy,,,,,,
104-FT-GRY,,,"Our take on casual, relaxed California style, the Cameron is perfect for cat naps or movie nights at home.  Elegant, crisp tapered arm rests and two included cushions complete the look.","Woven elegantly together, our hand picked weave is rich in texture and perfectly versatile for any setting.","Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate quality and contemporary design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Authentic Design,Tailored Uphostery,Built to Last,Designed for Comfort,Cameron Armchair,The Cameron Collection is so comfortable and modern.  Great for first time homeowners!,Teddy,,,,,,
104-LN-OAT,,,"Our take on casual, relaxed California style, the Cameron is perfect for cat naps or movie nights at home.  Elegant, crisp tapered arm rests and two included cushions complete the look.",Beautiful linen blended with cotton creating a super soft and comfortable texture and appearance.,"Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate quality and contemporary design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Authentic Design,Tailored Uphostery,Built to Last,Designed for Comfort,Cameron Armchair,The Cameron Collection is so comfortable and modern.  Great for first time homeowners!,Teddy,,,,,,
105-FW-LG,,,"Our take on casual, relaxed California style, the Cameron is perfect for cat naps or movie nights at home.  Elegant, crisp tapered arm rests and two included cushions complete the look.","Beautifully blended with polyester and polyfiber, our distinct basketweave fabric brings comfort in an easy to care for style","Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate quality and contemporary design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Authentic Design,Tailored Uphostery,Built to Last,Designed for Comfort,Cameron Ottoman,The Cameron Collection is so comfortable and modern.  Great for first time homeowners!,Teddy,,,,,,
105-FT-GRY,,,"Our take on casual, relaxed California style, the Cameron is perfect for cat naps or movie nights at home.  Elegant, crisp tapered arm rests and two included cushions complete the look.","Woven elegantly together, our hand picked weave is rich in texture and perfectly versatile for any setting.","Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate quality and contemporary design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Authentic Design,Tailored Uphostery,Built to Last,Designed for Comfort,Cameron Ottoman,The Cameron Collection is so comfortable and modern.  Great for first time homeowners!,Teddy,,,,,,
105-LN-OAT,,,"Our take on casual, relaxed California style, the Cameron is perfect for cat naps or movie nights at home.  Elegant, crisp tapered arm rests and two included cushions complete the look.",Beautiful linen blended with cotton creating a super soft and comfortable texture and appearance.,"Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate quality and contemporary design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Authentic Design,Tailored Uphostery,Built to Last,Designed for Comfort,Cameron Ottoman,The Cameron Collection is so comfortable and modern.  Great for first time homeowners!,Teddy,,,,,,
103-FW-LG,,,"Our take on casual, relaxed California style, the Cameron is perfect for cat naps or movie nights at home.  Elegant, crisp tapered arm rests and two included cushions complete the look.","Beautifully blended with polyester and polyfiber, our distinct basketweave fabric brings comfort in an easy to care for style","Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate quality and contemporary design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Authentic Design,Tailored Uphostery,Built to Last,Designed for Comfort,Cameron Sofa,The Cameron Collection is so comfortable and modern.  Great for first time homeowners!,Teddy,,,,,,
103-FT-GRY,,,"Our take on casual, relaxed California style, the Cameron is perfect for cat naps or movie nights at home.  Elegant, crisp tapered arm rests and two included cushions complete the look.","Woven elegantly together, our hand picked weave is rich in texture and perfectly versatile for any setting.","Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate quality and contemporary design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Authentic Design,Tailored Uphostery,Built to Last,Designed for Comfort,Cameron Sofa,The Cameron Collection is so comfortable and modern.  Great for first time homeowners!,Teddy,,,,,,
103-LN-OAT,,,"Our take on casual, relaxed California style, the Cameron is perfect for cat naps or movie nights at home.  Elegant, crisp tapered arm rests and two included cushions complete the look.",Beautiful linen blended with cotton creating a super soft and comfortable texture and appearance.,"Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate quality and contemporary design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Authentic Design,Tailored Uphostery,Built to Last,Designed for Comfort,Cameron Sofa,The Cameron Collection is so comfortable and modern.  Great for first time homeowners!,Teddy,,,,,,
101-FW-LG,,,"Classically, modern lines with low rolled arms and tufted back detailing, the Hathaway was inspired by the timeless style of English drawing rooms.  Elegant and gentle piping and solid hardwood feet details makes the Hathaway perfect for any room.  ","Beautifully blended with polyester and polyfiber, our distinct basketweave fabric brings comfort in an easy to care for style","Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate quality and contemporary design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Authentic Design,Tailored Uphostery,Built to Last,Designed for Comfort,Hathaway Armchair,"The Hathaway collection is so classically modern, it can fit in any room or house.  I love the design and quality!",Abdel,,,,,,
101-FT-GRY,,,"Classically, modern lines with low rolled arms and tufted back detailing, the Hathaway was inspired by the timeless style of English drawing rooms.  Elegant and gentle piping and solid hardwood feet details makes the Hathaway perfect for any room.  ","Woven elegantly together, our hand picked weave is rich in texture and perfectly versatile for any setting.","Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate quality and contemporary design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Authentic Design,Tailored Uphostery,Built to Last,Designed for Comfort,Hathaway Armchair,"The Hathaway collection is so classically modern, it can fit in any room or house.  I love the design and quality!",Abdel,,,,,,
101-LN-OAT,,,"Classically, modern lines with low rolled arms and tufted back detailing, the Hathaway was inspired by the timeless style of English drawing rooms.  Elegant and gentle piping and solid hardwood feet details makes the Hathaway perfect for any room.  ",Beautiful linen blended with cotton creating a super soft and comfortable texture and appearance.,"Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate quality and contemporary design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Authentic Design,Tailored Uphostery,Built to Last,Designed for Comfort,Hathaway Armchair,"The Hathaway collection is so classically modern, it can fit in any room or house.  I love the design and quality!",Abdel,,,,,,
102-FW-LG,,,"Classically, modern lines with low rolled arms and tufted back detailing, the Hathaway was inspired by the timeless style of English drawing rooms.  Elegant and gentle piping and solid hardwood feet details makes the Hathaway perfect for any room.  ","Beautifully blended with polyester and polyfiber, our distinct basketweave fabric brings comfort in an easy to care for style","Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate quality and contemporary design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Authentic Design,Tailored Uphostery,Built to Last,Designed for Comfort,Hathaway Sofa,"The Hathaway collection is so classically modern, it can fit in any room or house.  I love the design and quality!",Abdel,,,,,,
102-FT-GRY,,,"Classically, modern lines with low rolled arms and tufted back detailing, the Hathaway was inspired by the timeless style of English drawing rooms.  Elegant and gentle piping and solid hardwood feet details makes the Hathaway perfect for any room.  ","Woven elegantly together, our hand picked weave is rich in texture and perfectly versatile for any setting.","Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate quality and contemporary design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Authentic Design,Tailored Uphostery,Built to Last,Designed for Comfort,Hathaway Sofa,"The Hathaway collection is so classically modern, it can fit in any room or house.  I love the design and quality!",Abdel,,,,,,
102-LN-OAT,,,"Classically, modern lines with low rolled arms and tufted back detailing, the Hathaway was inspired by the timeless style of English drawing rooms.  Elegant and gentle piping and solid hardwood feet details makes the Hathaway perfect for any room.  ",Beautiful linen blended with cotton creating a super soft and comfortable texture and appearance.,"Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate quality and contemporary design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Authentic Design,Tailored Uphostery,Built to Last,Designed for Comfort,Hathaway Sofa,"The Hathaway collection is so classically modern, it can fit in any room or house.  I love the design and quality!",Abdel,,,,,,
